Date,Open,High,Low,Close,Adj Close,Volume
20-02-2024,934.450012,934.650024,920.400024,926.349976,923.500122,4733639
21-02-2024,926.349976,937.200012,916.5,921.049988,918.216431,6011018
22-02-2024,924.650024,933.849976,914.599976,932.299988,929.431824,6437014
23-02-2024,933.099976,939.799988,929.400024,937.400024,934.516174,7047473
26-02-2024,937.099976,945,930.700012,936.950012,934.067566,5600234
27-02-2024,936.75,965,935.5,962.700012,959.738342,12810206
28-02-2024,966.150024,976,950.299988,958.049988,955.1026,15219187
29-02-2024,959,959.25,942.900024,950.200012,947.276794,10346657
01-03-2024,958.950012,980.400024,956.700012,977.400024,974.393127,10645369
04-03-2024,993.25,995,980.099976,987.200012,984.162964,6084495
05-03-2024,1027,1065.599976,1005.349976,1021.900024,1018.756226,59811033
06-03-2024,1025,1030.650024,1009,1017.650024,1014.519287,14214823
07-03-2024,1025,1047,1014.049988,1039.300049,1036.102661,16877082
11-03-2024,1034.75,1035.949951,1021,1028,1024.837402,7502450
12-03-2024,1027.800049,1037,1011.299988,1016.5,1013.372803,8763820
13-03-2024,1019,1021,963.549988,973.200012,970.206055,16564155
14-03-2024,964.950012,982,955.400024,967.75,964.772766,22931801
15-03-2024,968.400024,979.75,940,945.849976,942.940125,23390913
18-03-2024,945.849976,974.799988,936.650024,972.450012,969.458313,12121719
19-03-2024,968.549988,970.599976,951.599976,957.75,954.803528,9483750
20-03-2024,960.900024,965.150024,921.200012,940.450012,937.556763,13900321
21-03-2024,951,969.25,946,964.900024,961.93158,11074207
22-03-2024,964.900024,986.200012,950.349976,979.799988,976.785706,13638296
26-03-2024,977,995,976,986.200012,983.166016,9461531
27-03-2024,991.599976,995,976.700012,978.650024,975.639282,6640537
28-03-2024,982.5,999.900024,979,992.799988,989.745728,9862996
01-04-2024,1000,1009.849976,987.450012,992.25,989.197388,8629407
02-04-2024,999,1008,993.400024,1004.650024,1001.559265,7995931
03-04-2024,1004,1014.450012,992.549988,1009.150024,1006.045471,8040366
04-04-2024,1016,1017,998.150024,1011.599976,1008.487854,9138276
05-04-2024,1011.599976,1012.5,1004.400024,1007.099976,1004.001709,4519120
08-04-2024,1010.049988,1016.400024,1004,1013.200012,1010.082947,5188052
09-04-2024,1021,1029.5,1005,1008.5,1005.3974,8539041
10-04-2024,1012.25,1021,1010,1013.5,1010.382019,4554077
12-04-2024,1014,1029,1013.5,1018.5,1015.366638,11575194
15-04-2024,998.099976,1006.950012,978.5,998.799988,995.727234,12632409
16-04-2024,990,1004.900024,982.099976,992.799988,989.745728,9574762
18-04-2024,996.349976,1003.099976,966.25,971.349976,968.361694,13540490
19-04-2024,964,967.950012,944,963.200012,960.236816,15381310
22-04-2024,978.75,978.75,966,973.549988,970.554932,7187959
23-04-2024,976,994.5,974.049988,986.75,983.714355,7994116
24-04-2024,992.400024,995.900024,988,991.650024,988.599304,4671450
25-04-2024,992.5,1003.299988,989.5,1001.25,998.169739,8366455
26-04-2024,1007.799988,1008.950012,996.599976,999.5,996.42511,7937500
29-04-2024,1003.049988,1005.75,999,1000.599976,997.521667,4764750
30-04-2024,1005,1019.450012,997.5,1007.900024,1004.799316,9047011
02-05-2024,1020,1030,1011.549988,1027.800049,1024.638062,12695047
03-05-2024,1038,1040.199951,996,1013.400024,1010.282349,11871773
06-05-2024,1015,1019.799988,1005,1016.200012,1013.07373,5724760
07-05-2024,1016.200012,1017.950012,982.049988,988.549988,985.508789,8877426
08-05-2024,986.950012,1015,977,1012.099976,1008.986328,7519352
09-05-2024,1011,1043.199951,1007.299988,1030.300049,1027.130371,19189798
10-05-2024,1037,1050.349976,1030.400024,1046.650024,1043.430054,13383183
13-05-2024,1005,1008.700012,947.200012,959.75,956.797363,58974762
14-05-2024,965.099976,968,953.25,964.650024,961.682312,16325689
15-05-2024,970.950012,972.950012,945.099976,947.299988,944.385681,19668239
16-05-2024,953.200012,954.400024,919,936.400024,933.519226,31240770
17-05-2024,944,953.400024,941,945.700012,942.790649,13205512
21-05-2024,954,956.650024,948.700012,951.299988,948.373352,10055258
22-05-2024,952,954.900024,942.549988,947.5,944.585083,9495279
23-05-2024,950,963.450012,945.049988,962.349976,959.389343,11211074
24-05-2024,962.5,970.950012,958,960.549988,957.59491,9590588
27-05-2024,964.900024,966.450012,952,958.5,955.551208,6916555
28-05-2024,959,961.900024,946,947.549988,944.634888,6618946
29-05-2024,946.950012,950.5,938.799988,943.599976,940.697083,8184019
30-05-2024,943.5,951.450012,921,923.950012,921.107544,10170912
31-05-2024,931.650024,937.25,920.099976,923,920.160461,14289102
03-06-2024,963,963,934,950.450012,947.526001,12314329
04-06-2024,948,948,855.400024,903.900024,901.119263,26554598
05-06-2024,924.950012,933.75,890,929.950012,927.089111,13752553
06-06-2024,940,946,931.200012,938.25,935.363525,11792640
07-06-2024,940,973,935.25,970.5,967.514343,15577866
10-06-2024,977,984.900024,969.099976,975.150024,972.150024,9258931
11-06-2024,973.799988,992.549988,966.650024,987.099976,987.099976,14828702
12-06-2024,994.5,1010.25,987,988.700012,988.700012,17527993
13-06-2024,1002,1002,980.75,985.849976,985.849976,12157226
14-06-2024,990,997.25,981.400024,993.400024,993.400024,11591421
18-06-2024,1000,1003.549988,984,985.900024,985.900024,9845075
19-06-2024,990,994.900024,975.150024,977.349976,977.349976,7605719
20-06-2024,980,988.400024,976.349976,978.25,978.25,7299571
21-06-2024,979,980.900024,958.099976,961.799988,961.799988,14303735
24-06-2024,960.900024,963.5,950.049988,958.049988,958.049988,6655577
25-06-2024,960,962.849976,949.299988,955,955,7304128
26-06-2024,956,962.5,950.099976,951.849976,951.849976,6908988
27-06-2024,952.5,974.849976,948.049988,972.099976,972.099976,19385412
28-06-2024,975,998.5,972.549988,989.75,989.75,23025267
01-07-2024,989.75,1005.5,985.200012,1002.049988,1002.049988,14006105
02-07-2024,1004.049988,1005,979.099976,981.299988,981.299988,12284132
03-07-2024,984.950012,987.349976,973.5,975.650024,975.650024,7346258
04-07-2024,984,1004,979.599976,998.200012,998.200012,12139832
05-07-2024,1005,1006.599976,989.950012,993.650024,993.650024,9050375
08-07-2024,1005,1016.599976,996.200012,1002.599976,1002.599976,13312085
09-07-2024,1000.950012,1017,998.099976,1014.950012,1014.950012,10948094
10-07-2024,1015,1019.849976,986.049988,1005.5,1005.5,13412206
11-07-2024,1008,1025.5,1007.049988,1020.799988,1020.799988,11983571
12-07-2024,1023.849976,1025.900024,1015,1016.75,1016.75,7339644
15-07-2024,1021.349976,1029.800049,1017.299988,1024.449951,1024.449951,5847297
16-07-2024,1025.5,1029.599976,1019.200012,1021.150024,1021.150024,4824555
18-07-2024,1022.950012,1027,1008,1024.550049,1024.550049,8010324
19-07-2024,1024,1024,986.650024,990,990,7400178
22-07-2024,990,1008,976.549988,1003.150024,1003.150024,7396198
23-07-2024,1007.900024,1008.650024,967.200012,1001.799988,1001.799988,10384177
24-07-2024,997.799988,1034.25,995.150024,1027.699951,1027.699951,11469098
25-07-2024,1029,1094,1024.349976,1090.949951,1090.949951,32766835
26-07-2024,1111.949951,1120.5,1083.599976,1118.300049,1118.300049,21232845
29-07-2024,1124,1139.900024,1118.599976,1124,1124,11850624
30-07-2024,1125.800049,1179,1118.599976,1161.849976,1161.849976,28592304
31-07-2024,1164,1167.900024,1145.300049,1156.650024,1156.650024,10860623
01-08-2024,1167,1176,1136.5,1144.400024,1144.400024,14375948
02-08-2024,1120,1120,1090.050049,1096.650024,1096.650024,21967812
05-08-2024,1059.949951,1065,1014.049988,1016.450012,1016.450012,26651144
06-08-2024,1030,1060.650024,1008.400024,1013.75,1013.75,16726393
07-08-2024,1036.050049,1040.199951,1015.049988,1025.300049,1025.300049,9978703
08-08-2024,1034.949951,1056.400024,1027,1041.75,1041.75,19529790
09-08-2024,1055,1082.949951,1052.050049,1068.099976,1068.099976,15443008
